,company,location,main_sector,subsector,primary,description
299,Chemgineering (Barcelona),"Barcelona, Barcelona",Professional Services and Consulting,Regulatory &amp; Clinical,,"The Chemgineering Group is a global consulting and planning company with a focus on the GxP-regulated environment. The company ffer the full range of services in the areas of pharmaceuticals, biotechnology, fine chemicals, medical technology, cosmetics, diagnostics and food."
300,Chemo Iberica,"Barcelona, Barcelona",Supplier &amp; Engineering,Other; Chemicals; APIs and excipients,,"Insud Pharma is specialized in research, development, manufacturing, sales and marketing of pharmaceutical products."
301,Chemotargets,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Bioinformatics; Screening,,"Chemotargets is a computationally-oriented biotech company focused on the drug discovery and development areas. The company has designed, and developing, an integrated technology platform involving a broad spectrum of cutting-edge computational methodologies. Spin-off company of Institut Hospital del Mar d'Investigacions Mèdiques (IMIM) and Universitat Pompeu Fabra (UPF)."
302,Chiesi España,"Hospitalet de Llobregat,l', Barcelona",Pharma,Other,Cardiovascular; Diseases of the nervous system; Genitourinary system; Respiratory,"Chiesi Pharmaceuticals is a global pharmaceutical company. The company manufactures products for asthma, inflammatory diseases, gastro-nutrition, and oncology. The company also manufactures antibiotics, cardiovascular, and respiratory distress medicines. Chiesi Spain is today one of the main subsidiaries of the group in terms of turnover. The company has been operating in this country since 1995 thanks to the acquisition of Wassermann Laboratories. Subsequently, in June 2003, Chiesi Spain acquired Laboratorios Dreiman, the pharmaceutical division of Laboratorios Alcalá Farma and Grupo Internacional Advent, a company that operated in the areas of cardiovascular, musculoskeletal diseases, and women's health."
303,CIDQO,"TORDERA, Lleida",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"CIDQO is a a Spanish contract research organization specialized in pharmaceutical chemistry. The company's mission is to provide quality and personalized research and development services for the pharmaceutical and chemical industry, helping and assisting them in the continue enhancement of their processes and in the growth of the company."
304,Ciència i Recerca Experimental Biomèdica Aplicada (CREBA),"TORRELAMEU, Lleida",Public / Non-profit organizations / Medical facilities,Institute,,"The CREBA (Applied and Experimental Biomedical Research Center) is a state-of-the-art research and training center focused on the biomedical field. Promoted by the Provincial Council of Lleida and the Institute of Biomedical Research of Lleida, CREBA project arose from the need to provide high standard facilities for translational research and continuing education of health professionals."
305,CIMAB (Centro de Infertilidad Masculina y Análisis de Barcelona),"Sant Quirze del Vallès, Barcelona",Biotechnology / R&amp;D Services,Other; Analytical services,,Cimab Ibérica is the distributor of products and services for infertility centers and patients. Cimab is a spin-off of Universitat Autònoma de Barcelona (UAB).
306,Cimer,"Barcelona, Barcelona",Biotechnology - Therapeutics and Diagnostics,Cell therapy; Stem cells,,"Pregnancy, childbirth and the puerperium"
307,Cinta-Plast,"Barcelona, Barcelona",Supplier &amp; Engineering,Packaging &amp; labeling,,Cinta-Plast sa is a manufacturer of labels for industries.
308,Cirex Consulting,"Barcelona, Barcelona",Professional Services and Consulting,Business development; Communication &amp; PR/IR; Deal arranger; Due diligence; Management consulting; Market access; Market research,,"Cirex is a consulting company specialized in the healthcare sector. The central idea of Cirex is to help companies to innovate and to convert innovations into success stories in the markets. While having a focus on Spain and Europe, the company also acts worldwide."
309,CITA.iO,"Barcelona, Barcelona",Digital Health,Online Health Communities; Telehealth,,CITA.iO is a technological platform which allows the management of online consultations and non-face-to-face therapies. The company allows to fully manage online consultation and conduct non-contact therapies through a confidential and secure video conferencing service.
310,Clarivate Analytics (Barcelona),"Barcelona, Barcelona",Professional Services and Consulting,Information provider,,"Our bold mission is to help customers solve some of the world’s most complex problems by providing actionable information and insights that reduce the time from new ideas to life-changing inventions in the areas of Academia &amp; Government, Life Sciences &amp; Healthcare, Professional Services and Consumer Goods, Manufacturing &amp; Technology."
311,"Clarke, Modet y Companyía","Barcelona, Barcelona",Professional Services and Consulting,Other; Business development; Patents &amp; Trademarks,,"Clarke, Modet &amp; Cº España manages and protects Intellectual Property Assets across various industry sectors, such as: the Chemical, Pharmaceutical, Technology, Manufacturing, Distribution, Automotive, Retail, Cosmetics and Food industries amongst others."
312,Clementine Global,"Sant Cugat del Vallès, Barcelona",Professional Services and Consulting,Other,,"Clementine Global supports the charity organization Spinal Cord Injury Foundation in Nepal dedicated to enhance quality of people living with disabilities. The company specialized on clinical development, working for pharmaceutical and biotechnology industries, from the preparation of clinical plans through design, set up, monitoring, management and reporting of clinical trials."
313,Click Doctors,"Barcelona, Barcelona",Digital Health,Remote Monitoring,,"Click Doctors is a company that has designed an app freemium which integrates monitoring, medical video conference, personalized pharmaceutical care and onsite assistance through the mobile, which is especially interesting for people who live far from a hospital or in rural areas."
314,Clinic Point,"Barcelona, Barcelona",Digital Health,Health Services Search,,"ClinicPoint Healthcare provides online health services in Spain. The company provides online retail services for medicines in the Spanish market. The company offers medical services, such as surgeries and treatments in the field of ophthalmology, cosmetic surgery, assisted reproduction, general surgery, obesity, orthopedic surgery, odontolgy, and diagnostic imaging services and controls."
